Place,WeightClassKg,Division,Sex,Name,BirthYear,Country,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg,Bench1Kg,Bench2Kg,Bench3Kg,BestBenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,BestDeadliftKg,TotalKg,Event,Equipment
5,90,Master 2,M,Jonny Wall,1945,SWE,89.7,240,250,250,250,140,145,150,150,220,240,,240,620,SBD,Single-ply
6,90,Master 2,M,Unto Lehtinen,1942,SWE,89.5,210,220,225,225,125,130,132.5,132.5,235,247.5,252.5,252.5,607.5,SBD,Single-ply
7,90,Master 2,M,Charles Crawford,1939,GBR,87.3,220,230,237.5,237.5,115,115,122.5,122.5,220,235,240,240,600,SBD,Single-ply
8,90,Master 2,M,Ron Forman,1943,USA,88.5,200,207.5,207.5,207.5,130,135,140,140,227.5,250,255,255,592.5,SBD,Single-ply
9,90,Master 2,M,Louis Loncke,1940,BEL,84,232.5,252.5,273,273,105,112.5,112.5,112.5,205,230,242.5,242.5,587.5,SBD,Single-ply
10,90,Master 2,M,Erwin Breitenbach,1944,GER,88.2,205,212.5,217.5,217.5,102.5,107.5,110,110,235,245,245,245,557.5,SBD,Single-ply
11,90,Master 2,M,Hans Anesen,1939,NOR,85.5,180,190,200,200,130,135,135,135,210,225,227.5,227.5,555,SBD,Single-ply
12,90,Master 2,M,Freddy Jensen,1941,DEN,89.1,170,185,190,190,130,130,142.5,142.5,180,192.5,202.5,202.5,517.5,SBD,Single-ply
13,90,Master 2,M,Jose-Luis Martinez,1939,ESP,87.9,100,,,100,157.5,157.5,160,160,135,135,,135,395,SBD,Single-ply
DQ,90,Master 2,M,Wolfgang Kolditz,1940,GER,87,145,152.5,155,155,100,100,100,100,,,,,,SBD,Single-ply
1,100,Master 2,M,Juhani Äijö,1941,FIN,99,250,265,270,270,200,212.5,215.5,215.5,270,285,290,290,775,SBD,Single-ply
2,100,Master 2,M,Vsevolod Babenko,1937,UKR,99,250,250,270,270,175,185,185,185,275,290,305,305,735,SBD,Single-ply
3,100,Master 2,M,Willi Müller,1939,GER,99.5,245,260,265,265,150,157.5,162.5,162.5,275,290,315,315,712.5,SBD,Single-ply
4,100,Master 2,M,Mikhail Rusakov,1944,RUS,99.8,235,245,250,250,175,185,190,190,240,255,260,260,700,SBD,Single-ply
5,100,Master 2,M,Robert Rood,1940,USA,99.1,240,250,260,260,160,175,175,175,250,262.5,267.5,267.5,697.5,SBD,Single-ply
6,100,Master 2,M,Rüdiger Pfeiffer,1941,USA,98.1,240,260,270,270,160,170,170,170,250,260,260,260,680,SBD,Single-ply
7,100,Master 2,M,Karl Grabosch,1937,GER,98.4,240,250,255,255,142.5,142.5,150,150,245,260,265,265,670,SBD,Single-ply
